area_type,bath,balcony,availabletomove,rectified_sqft,price
Built-up  Area,2.0,2.0,Yes,1550.0,49.6
Super built-up  Area,3.0,2.0,Yes,1490.0,79.0
Super built-up  Area,3.0,2.0,Yes,1520.0,111.0
Plot  Area,4.0,2.0,Yes,4100.0,550.0
Built-up  Area,2.0,3.0,Yes,1391.0,64.5
Super built-up  Area,2.0,2.0,Yes,1200.0,50.0
Plot  Area,4.0,2.0,Yes,1200.0,86.0
Plot  Area,6.0,3.0,Yes,2500.0,500.0
Super built-up  Area,2.0,2.0,Yes,1322.0,80.0
Super built-up  Area,3.0,2.0,No,2173.0,128.0
Super built-up  Area,2.0,2.0,Yes,1200.0,75.0
Super built-up  Area,2.0,2.0,Yes,1200.0,47.0
Super built-up  Area,2.0,2.0,Yes,1170.0,65.0
Super built-up  Area,2.0,2.0,No,1125.0,45.56
Super built-up  Area,1.0,0.0,No,698.5,28.57
Super built-up  Area,2.0,2.0,Yes,1250.0,90.0
Super built-up  Area,2.0,2.0,No,1025.0,27.68
Super built-up  Area,2.0,2.0,Yes,1075.0,36.0
Super built-up  Area,2.0,2.0,Yes,1900.0,190.0
Built-up  Area,3.0,2.0,Yes,1435.0,45.0
Super built-up  Area,2.0,2.0,No,1175.0,64.98
Built-up  Area,2.0,1.0,Yes,900.0,33.0
Super built-up  Area,1.0,1.0,Yes,585.0,21.0
Plot  Area,5.0,2.0,Yes,3170.0,230.0
Super built-up  Area,2.0,1.0,No,1602.0,170.0
Super built-up  Area,2.0,2.0,Yes,1220.0,42.0
Super built-up  Area,3.0,3.0,Yes,2500.0,350.0
Super built-up  Area,3.0,3.0,Yes,2145.0,180.0
Super built-up  Area,2.0,3.0,Yes,960.0,58.0
Super built-up  Area,1.0,1.0,Yes,907.0,38.0
Super built-up  Area,2.0,1.0,Yes,1210.0,74.0
Plot  Area,4.0,1.0,Yes,900.0,150.0
Super built-up  Area,2.0,2.0,Yes,1230.0,70.0
Super built-up  Area,2.0,1.0,Yes,1350.0,75.0
Super built-up  Area,2.0,2.0,Yes,1150.0,58.0
Super built-up  Area,2.0,0.0,No,1404.0,53.35
Super built-up  Area,2.0,3.0,Yes,1050.0,48.0
Plot  Area,10.0,0.0,Yes,1020.0,155.0
Super built-up  Area,2.0,2.0,Yes,1285.0,56.0
Super built-up  Area,2.0,1.0,Yes,1018.0,50.8
Plot  Area,3.0,2.0,Yes,1200.0,57.0
Super built-up  Area,3.0,3.0,Yes,1600.0,95.0
Super built-up  Area,2.0,1.0,No,1480.0,80.0
Built-up  Area,7.0,0.0,Yes,2500.0,125.0
Built-up  Area,1.0,1.0,Yes,480.0,25.0
Super built-up  Area,3.0,3.0,Yes,1435.0,53.0
Built-up  Area,1.0,2.0,Yes,450.0,60.0
Super built-up  Area,2.0,0.0,Yes,600.0,23.0
Super built-up  Area,2.0,3.0,Yes,1590.0,85.0
Plot  Area,2.0,2.0,No,1730.0,28.545
Built-up  Area,2.0,0.0,Yes,936.0,40.2
Super built-up  Area,2.0,1.0,Yes,1181.0,75.0
Super built-up  Area,3.0,2.0,No,1741.0,80.0
Super built-up  Area,3.0,1.0,No,1750.0,123.0
Super built-up  Area,2.0,2.0,Yes,1050.0,42.7
Super built-up  Area,2.0,1.0,No,1027.0,60.0
Built-up  Area,2.0,1.0,Yes,596.0,22.0
Built-up  Area,6.0,0.0,Yes,3463.0,310.0
Built-up  Area,3.0,2.0,Yes,1600.0,70.0
Super built-up  Area,2.0,1.0,Yes,1000.0,60.0
Super built-up  Area,2.0,2.0,No,1120.0,44.24
Plot  Area,2.0,0.0,Yes,1200.0,85.0
Super built-up  Area,2.0,2.0,No,1200.0,35.0
Super built-up  Area,3.0,2.0,Yes,1570.0,110.0
Super built-up  Area,3.0,1.0,Yes,1500.0,135.0
Built-up  Area,2.0,2.0,Yes,1315.0,140.0
Super built-up  Area,2.0,1.0,No,1140.0,33.84
Super built-up  Area,2.0,2.0,Yes,1105.0,90.0
Built-up  Area,2.0,1.0,No,1200.0,34.65
Super built-up  Area,1.0,1.0,No,905.0,62.0
Plot  Area,4.0,0.0,Yes,2400.0,350.0
Super built-up  Area,2.0,1.0,Yes,1185.0,50.0
Super built-up  Area,2.0,1.0,Yes,1083.0,100.0
Super built-up  Area,3.0,2.0,Yes,1458.0,60.0
Super built-up  Area,3.0,2.0,Yes,1555.0,75.0
Built-up  Area,2.0,2.0,Yes,1200.0,45.0
Super built-up  Area,2.0,1.0,Yes,1308.0,58.86
Super built-up  Area,2.0,2.0,Yes,1024.0,44.0
Super built-up  Area,3.0,1.0,Yes,1450.0,75.0
Super built-up  Area,3.0,3.0,Yes,1639.0,120.0
Super built-up  Area,2.0,1.0,No,1232.0,87.0
Super built-up  Area,3.0,1.0,Yes,1719.0,184.0
Super built-up  Area,2.0,1.0,No,975.0,24.86
Super built-up  Area,4.0,2.0,Yes,2000.0,130.0
Super built-up  Area,2.0,1.0,Yes,1230.0,79.0
Plot  Area,4.0,2.0,Yes,1350.0,140.0
Super built-up  Area,2.0,2.0,Yes,1076.0,67.0
Built-up  Area,7.0,1.0,Yes,2400.0,125.0
Super built-up  Area,2.0,2.0,Yes,995.0,34.82
Super built-up  Area,3.0,2.0,Yes,2120.0,177.0
Plot  Area,7.0,2.0,Yes,2400.0,460.0
Plot  Area,6.0,2.0,Yes,850.0,78.0
Super built-up  Area,2.0,2.0,Yes,1096.0,40.55
Super built-up  Area,2.0,1.0,Yes,1107.83,41.51
Built-up  Area,1.0,0.0,Yes,505.0,85.0
Super built-up  Area,2.0,2.0,Yes,1320.0,115.0
Super built-up  Area,3.0,0.0,No,1431.5,72.02
Super built-up  Area,2.0,1.0,No,1320.0,99.26
Super built-up  Area,4.0,2.0,Yes,2901.0,190.0
Built-up  Area,2.0,2.0,Yes,1315.0,65.0
Super built-up  Area,2.0,1.0,Yes,1000.0,44.0
Super built-up  Area,3.0,3.0,Yes,1596.0,79.8
Super built-up  Area,3.0,2.0,Yes,1750.0,130.0
Plot  Area,4.0,2.0,Yes,2403.0,270.0
Super built-up  Area,3.0,2.0,No,1350.0,47.25
Super built-up  Area,2.0,2.0,Yes,4062.5,341.0
Super built-up  Area,2.0,2.0,No,1175.0,79.0
Super built-up  Area,2.0,1.0,Yes,921.0,29.47
Built-up  Area,4.0,2.0,Yes,4000.0,1100.0
Super built-up  Area,3.0,3.0,Yes,1713.0,125.0
Built-up  Area,2.0,0.0,Yes,1200.0,43.0
Built-up  Area,4.0,1.0,Yes,1900.0,90.0
Super built-up  Area,3.0,2.0,Yes,1664.0,68.0
Super built-up  Area,3.0,2.0,No,1795.0,139.0
Built-up  Area,1.0,1.0,Yes,600.0,19.5
Built-up  Area,2.0,3.0,Yes,1240.0,65.0
Super built-up  Area,4.0,2.0,Yes,1965.0,132.0
Plot  Area,4.0,0.0,Yes,600.0,99.0
Plot  Area,4.0,1.0,Yes,4111.0,370.0
Super built-up  Area,2.0,2.0,No,1200.0,59.76
Super built-up  Area,2.0,3.0,Yes,1112.0,68.0
Built-up  Area,3.0,2.0,Yes,3000.0,60.0
Super built-up  Area,2.0,3.0,Yes,1136.0,64.5
Super built-up  Area,2.0,2.0,Yes,914.0,55.0
Super built-up  Area,2.0,1.0,Yes,1270.0,50.79
Super built-up  Area,2.0,2.0,Yes,1050.0,47.25
Super built-up  Area,2.0,2.0,Yes,1385.0,68.5
Super built-up  Area,2.0,3.0,Yes,990.0,35.0
Built-up  Area,2.0,2.0,Yes,845.0,43.0
Super built-up  Area,2.0,1.0,No,1485.0,96.51
Super built-up  Area,2.0,3.0,Yes,1460.0,43.79
Super built-up  Area,2.0,1.0,Yes,1450.0,57.0
Built-up  Area,2.0,1.0,Yes,1360.0,53.0
Built-up  Area,2.0,3.0,Yes,1375.0,58.0
Super built-up  Area,2.0,1.0,Yes,1125.0,48.0
Super built-up  Area,1.0,1.0,Yes,720.0,60.0
Super built-up  Area,2.0,2.0,Yes,1460.0,100.0
Built-up  Area,2.0,2.0,Yes,1107.0,40.0
Built-up  Area,2.0,3.0,Yes,1158.0,75.0
Super built-up  Area,1.0,1.0,Yes,800.0,30.0
Plot  Area,9.0,2.0,Yes,600.0,90.0
Super built-up  Area,3.0,2.0,Yes,1760.0,128.0
Plot  Area,4.0,2.0,Yes,3200.0,200.0
Plot  Area,3.0,2.0,No,600.0,145.0
Built-up  Area,3.0,1.0,Yes,1350.0,60.0
Plot  Area,6.0,3.0,Yes,600.0,100.0
Built-up  Area,2.0,1.0,No,1125.0,32.49
Super built-up  Area,3.0,3.0,Yes,1706.0,154.0
Super built-up  Area,3.0,2.0,Yes,1600.0,112.0
Super built-up  Area,2.0,0.0,Yes,1200.0,90.0
Super built-up  Area,3.0,3.0,Yes,1755.0,101.0
Super built-up  Area,2.0,1.0,Yes,1200.0,50.0
Super built-up  Area,2.0,2.0,Yes,1200.0,67.0
Super built-up  Area,2.0,0.0,Yes,1266.67,69.0
Super built-up  Area,3.0,2.0,Yes,1800.0,90.0
Plot  Area,4.0,1.0,Yes,1200.0,275.0
Super built-up  Area,3.0,2.0,No,1300.0,64.0
Plot  Area,3.0,3.0,Yes,800.0,60.0
Plot  Area,5.0,2.0,Yes,4800.0,550.0
Super built-up  Area,2.0,0.0,No,1029.5,50.855
Super built-up  Area,2.0,2.0,Yes,1128.0,40.0
Plot  Area,2.0,1.0,Yes,2000.0,160.0
Super built-up  Area,2.0,1.0,No,1210.0,80.0
Super built-up  Area,6.0,2.0,No,2710.0,142.0
Super built-up  Area,2.0,2.0,Yes,1151.0,39.0
Super built-up  Area,8.0,3.0,No,7500.0,1700.0
Super built-up  Area,2.0,2.0,Yes,1017.0,27.0
Built-up  Area,2.0,1.0,Yes,920.0,40.0
Plot  Area,3.0,1.0,Yes,1200.0,180.0
Plot  Area,5.0,2.0,Yes,1000.0,140.0
Super built-up  Area,3.0,3.0,Yes,1750.0,86.5
Built-up  Area,2.0,1.0,Yes,1163.0,65.0
Super built-up  Area,3.0,3.0,Yes,1650.0,110.0
Super built-up  Area,3.0,3.0,Yes,1800.0,95.0
Super built-up  Area,2.0,1.0,Yes,1100.0,58.0
Built-up  Area,2.0,2.0,Yes,1200.0,60.0
Super built-up  Area,3.0,2.0,Yes,1410.0,65.0
Super built-up  Area,3.0,2.0,No,1933.0,98.0
Super built-up  Area,2.0,2.0,Yes,1200.0,45.6
Super built-up  Area,2.0,3.0,Yes,1608.0,63.0
Plot  Area,5.0,2.0,Yes,2679.0,280.0
Super built-up  Area,2.0,2.0,Yes,1156.0,46.9
Plot  Area,2.0,0.0,No,1230.0,75.0
Super built-up  Area,1.0,1.0,Yes,770.0,43.82
Super built-up  Area,3.0,2.0,Yes,1777.26,105.0
Super built-up  Area,2.0,2.0,Yes,1339.0,85.0
Built-up  Area,3.0,2.0,No,3044.0,183.0
Built-up  Area,2.0,2.0,Yes,1080.0,44.8
Carpet  Area,5.0,2.0,Yes,3150.0,145.0
Plot  Area,2.0,2.0,Yes,2400.0,135.0
Built-up  Area,3.0,3.0,Yes,1450.0,72.0
Super built-up  Area,2.0,2.0,No,1075.0,53.0
Super built-up  Area,2.0,2.0,Yes,1163.0,62.0
Built-up  Area,2.0,0.0,Yes,1200.0,65.0
Plot  Area,8.0,1.0,Yes,1200.0,135.0
Plot  Area,4.0,2.0,Yes,3090.0,325.0
Built-up  Area,2.0,1.0,Yes,1299.0,100.0
Super built-up  Area,2.0,2.0,Yes,1170.0,75.0
Super built-up  Area,2.0,2.0,No,2195.0,152.0
Super built-up  Area,4.0,3.0,Yes,2600.0,175.0
Super built-up  Area,2.0,1.0,Yes,1140.0,43.32
Super built-up  Area,3.0,3.0,Yes,1900.0,125.0
Built-up  Area,2.0,1.0,No,1090.0,31.48
Super built-up  Area,2.0,1.0,Yes,1110.0,39.95
Super built-up  Area,1.0,1.0,No,705.0,57.0
Super built-up  Area,2.0,1.0,Yes,1089.0,60.0
Plot  Area,2.0,1.0,Yes,880.0,48.0
Built-up  Area,2.0,2.0,Yes,1080.0,32.0
Super built-up  Area,2.0,1.0,No,1093.0,68.1
Super built-up  Area,3.0,1.0,No,1480.0,75.48
Super built-up  Area,3.0,2.0,Yes,1703.0,125.0
Super built-up  Area,2.0,1.0,Yes,1200.0,60.0
Super built-up  Area,3.0,2.0,Yes,1690.0,116.0
Super built-up  Area,2.0,1.0,Yes,1305.0,78.0
Super built-up  Area,2.0,2.0,No,1257.0,40.22
Super built-up  Area,2.0,2.0,Yes,1150.0,45.0
Super built-up  Area,2.0,0.0,Yes,1194.0,55.0
Built-up  Area,3.0,1.0,Yes,2000.0,90.0
Plot  Area,4.0,1.0,Yes,1500.0,99.0
Built-up  Area,2.0,0.0,Yes,1025.0,42.5
Built-up  Area,2.0,1.0,Yes,980.0,38.19
Plot  Area,2.0,1.0,Yes,1200.0,100.0
Super built-up  Area,3.0,1.0,Yes,2225.0,149.0
Super built-up  Area,2.0,2.0,Yes,1022.0,57.0
Plot  Area,3.0,0.0,Yes,882.0,72.0
Built-up  Area,2.0,2.0,Yes,1153.0,45.0
Super built-up  Area,2.0,2.0,Yes,1175.0,60.0
Built-up  Area,3.0,3.0,Yes,1560.0,68.0
Built-up  Area,1.0,1.0,Yes,650.0,17.0
Plot  Area,3.0,2.0,Yes,600.0,65.0
Super built-up  Area,3.0,2.0,Yes,1350.0,55.0
Plot  Area,2.0,1.0,Yes,1200.0,76.0
Super built-up  Area,1.0,1.0,Yes,1200.0,54.0
Super built-up  Area,2.0,1.0,Yes,800.0,25.0
Super built-up  Area,4.0,1.0,No,2093.0,104.0
Super built-up  Area,2.0,2.0,No,1320.0,55.44
Super built-up  Area,2.0,1.0,Yes,1275.0,73.0
Super built-up  Area,2.0,2.0,Yes,1215.0,43.13
Super built-up  Area,2.0,2.0,Yes,1444.0,71.5
Super built-up  Area,2.0,2.0,Yes,950.0,38.0
Super built-up  Area,1.0,2.0,Yes,1000.0,90.0
Super built-up  Area,2.0,2.0,Yes,1240.0,59.52
Plot  Area,4.0,2.0,Yes,600.0,125.0
Super built-up  Area,2.0,2.0,Yes,1231.0,50.0
Super built-up  Area,2.0,1.0,Yes,1300.0,120.0
Super built-up  Area,3.0,2.0,No,1713.0,110.0
Built-up  Area,4.0,2.0,Yes,3004.0,158.0
Built-up  Area,2.0,0.0,Yes,1310.0,46.0
Super built-up  Area,2.0,1.0,Yes,790.0,49.5
Super built-up  Area,3.0,1.0,Yes,1744.0,200.0
Super built-up  Area,3.0,2.0,Yes,1605.0,100.0
Super built-up  Area,2.0,2.0,Yes,1250.0,82.0
Super built-up  Area,3.0,3.0,Yes,2476.0,337.0
Built-up  Area,2.0,2.0,Yes,1260.0,76.0
Super built-up  Area,3.0,1.0,No,1615.0,175.0
Super built-up  Area,2.0,1.0,Yes,1180.0,56.0
Super built-up  Area,2.0,2.0,Yes,1255.0,50.19
Super built-up  Area,2.0,1.0,Yes,1025.0,53.9
Super built-up  Area,4.0,2.0,Yes,1877.0,150.0
Built-up  Area,3.0,2.0,Yes,1649.0,150.0
Plot  Area,12.0,2.0,Yes,2600.0,675.0
Built-up  Area,5.0,2.0,Yes,2500.0,125.0
Built-up  Area,3.0,2.0,Yes,1542.0,98.0
Built-up  Area,2.0,0.0,Yes,1012.0,42.0
Plot  Area,2.0,1.0,Yes,1200.0,65.0
Super built-up  Area,2.0,2.0,Yes,1115.0,43.0
Super built-up  Area,4.0,3.0,Yes,1680.0,95.0
Super built-up  Area,2.0,2.0,Yes,1171.0,72.0
Super built-up  Area,2.0,1.0,Yes,1027.0,68.62
Super built-up  Area,3.0,3.0,Yes,1700.0,75.0
Super built-up  Area,2.0,2.0,Yes,1090.0,38.15
Super built-up  Area,2.0,1.0,No,1232.0,74.0
Super built-up  Area,2.0,2.0,Yes,766.0,28.0
Plot  Area,5.0,0.0,Yes,1200.0,180.0
Super built-up  Area,1.0,1.0,No,525.0,27.0
Super built-up  Area,3.0,1.0,No,142.61,109.0
Built-up  Area,2.0,1.0,Yes,1452.0,41.0
Super built-up  Area,2.0,1.0,Yes,1254.0,65.0
Built-up  Area,5.0,0.0,Yes,3600.0,110.0
Super built-up  Area,3.0,1.0,No,1593.0,118.0
Super built-up  Area,2.0,2.0,Yes,1333.0,77.27
Built-up  Area,3.0,1.0,Yes,1100.0,110.0
Super built-up  Area,2.0,1.0,Yes,1375.0,54.99
Super built-up  Area,3.0,3.0,Yes,1650.0,82.0
Super built-up  Area,2.0,2.0,Yes,1430.0,51.48
Built-up  Area,2.0,1.0,Yes,940.0,54.0
Super built-up  Area,1.0,1.0,Yes,435.0,21.0
Super built-up  Area,2.0,2.0,Yes,1160.0,36.54
Super built-up  Area,2.0,1.0,No,1500.0,77.5
Super built-up  Area,2.0,1.0,Yes,1890.0,100.0
Built-up  Area,2.0,1.0,Yes,1050.0,70.0
Plot  Area,6.0,3.0,Yes,1200.0,220.0
Super built-up  Area,2.0,2.0,Yes,1027.0,43.0
Super built-up  Area,2.0,2.0,No,1495.0,61.28
Plot  Area,4.0,2.0,Yes,3000.0,235.0
Super built-up  Area,2.0,1.0,Yes,1459.0,95.0
Super built-up  Area,3.0,3.0,No,1711.0,85.61
Super built-up  Area,2.0,2.0,No,1250.0,98.0
Plot  Area,2.0,1.0,Yes,875.0,57.0
Built-up  Area,2.0,1.0,No,1334.0,67.0
Built-up  Area,2.0,1.0,No,1140.0,32.92
Plot  Area,5.0,2.0,Yes,1200.0,200.0
Super built-up  Area,3.0,1.0,No,1776.0,190.0
Super built-up  Area,4.0,2.0,Yes,2072.0,160.0
Plot  Area,3.0,2.0,Yes,1600.0,170.0
Plot  Area,4.0,2.0,Yes,1200.0,115.0
Super built-up  Area,2.0,3.0,Yes,920.0,39.0
Super built-up  Area,2.0,0.0,No,778.0,25.29
Plot  Area,3.0,3.0,Yes,1310.0,95.0
Super built-up  Area,3.0,2.0,Yes,1631.0,80.0
Super built-up  Area,1.0,1.0,No,525.0,27.5
Built-up  Area,3.0,3.0,Yes,1395.0,82.0
Super built-up  Area,3.0,2.0,Yes,2000.0,105.0
Super built-up  Area,2.0,1.0,No,1232.0,66.0
Super built-up  Area,2.0,1.0,Yes,1075.0,55.0
Super built-up  Area,2.0,2.0,Yes,1205.0,70.0
Plot  Area,4.0,2.0,Yes,1200.0,165.0
Super built-up  Area,2.0,1.0,Yes,1179.0,55.0
Super built-up  Area,2.0,1.0,Yes,1013.0,51.0
Super built-up  Area,2.0,2.0,Yes,1160.0,40.6
Plot  Area,6.0,2.0,Yes,1500.0,290.0
Super built-up  Area,2.0,2.0,Yes,1200.0,62.5
Plot  Area,5.0,0.0,Yes,1200.0,80.0
Super built-up  Area,2.0,3.0,Yes,1255.0,50.19
Built-up  Area,2.0,1.0,Yes,1100.0,145.0
Built-up  Area,2.0,1.0,Yes,1069.0,55.0
Plot  Area,3.0,2.0,Yes,1200.0,99.0
Super built-up  Area,1.0,1.0,Yes,1400.0,285.0
Super built-up  Area,2.0,2.0,Yes,1065.0,55.0
Built-up  Area,2.0,0.0,Yes,1395.0,75.0
Built-up  Area,2.0,1.0,Yes,1725.0,165.0
Built-up  Area,2.0,2.0,Yes,1007.0,43.0
Built-up  Area,2.0,2.0,Yes,1436.0,55.0
Super built-up  Area,6.0,3.0,Yes,4250.0,150.0
Plot  Area,2.0,0.0,Yes,1200.0,58.0
Super built-up  Area,2.0,1.0,No,940.0,43.61
Built-up  Area,6.0,2.0,Yes,4300.0,175.0
Super built-up  Area,5.0,3.0,No,2850.0,343.0
Built-up  Area,3.0,2.0,Yes,1740.0,191.0
Super built-up  Area,2.0,2.0,No,1194.0,47.0
Super built-up  Area,3.0,2.0,Yes,3761.0,650.0
Super built-up  Area,3.0,2.0,Yes,1829.0,125.0
Plot  Area,4.0,3.0,Yes,1800.0,178.0
Super built-up  Area,2.0,1.0,Yes,1000.0,60.0
Built-up  Area,3.0,0.0,Yes,5720.0,350.0
Plot  Area,4.0,2.0,Yes,800.0,98.0
Super built-up  Area,1.0,1.0,Yes,675.0,15.0
Super built-up  Area,2.0,2.0,Yes,1390.0,95.0
Super built-up  Area,3.0,2.0,Yes,1500.0,104.0
Super built-up  Area,3.0,2.0,No,2047.0,136.0
Super built-up  Area,2.0,1.0,Yes,1202.0,79.0
Super built-up  Area,2.0,1.0,Yes,1012.0,59.0
Super built-up  Area,3.0,3.0,Yes,2132.0,80.0
Plot  Area,4.0,3.0,Yes,1350.0,340.0
Super built-up  Area,1.0,1.0,Yes,605.0,40.0
Super built-up  Area,2.0,1.0,Yes,1331.0,88.0
Plot  Area,2.0,0.0,No,1200.0,69.0
Built-up  Area,2.0,0.0,Yes,1150.0,250.0
Plot  Area,2.0,1.0,Yes,1200.0,136.0
Built-up  Area,2.0,0.0,Yes,1800.0,300.0
Plot  Area,2.0,1.0,Yes,600.0,50.0
Super built-up  Area,2.0,2.0,Yes,1280.0,49.0
Super built-up  Area,2.0,1.0,Yes,1007.0,62.0
Super built-up  Area,2.0,1.0,No,1370.0,61.0
Super built-up  Area,2.0,2.0,Yes,925.0,35.0
Super built-up  Area,2.0,0.0,Yes,1500.0,75.0
Built-up  Area,1.0,1.0,Yes,450.0,12.5
Built-up  Area,4.0,1.0,Yes,1200.0,140.0
Super built-up  Area,2.0,1.0,No,1341.0,95.0
Super built-up  Area,2.0,2.0,Yes,1350.0,47.25
Super built-up  Area,2.0,1.0,Yes,992.0,60.0
Super built-up  Area,2.0,2.0,Yes,1163.0,68.0
Super built-up  Area,2.0,2.0,Yes,1229.0,70.0
Plot  Area,2.0,2.0,Yes,600.0,39.0
Super built-up  Area,2.0,1.0,Yes,1219.0,61.26
Super built-up  Area,2.0,2.0,Yes,1525.0,99.13
Super built-up  Area,2.0,1.0,No,1147.0,60.0
Super built-up  Area,2.0,3.0,Yes,1412.0,88.0
Plot  Area,9.0,3.0,Yes,1200.0,215.0
Super built-up  Area,2.0,1.0,No,1044.0,34.77
Super built-up  Area,2.0,2.0,Yes,1190.0,63.0
Super built-up  Area,2.0,2.0,Yes,1240.0,65.0
Super built-up  Area,3.0,1.0,Yes,1352.0,65.0
Built-up  Area,2.0,2.0,Yes,1100.0,55.0
Super built-up  Area,2.0,2.0,Yes,1330.0,39.9
Super built-up  Area,3.0,2.0,No,1700.0,111.0
Super built-up  Area,2.0,1.0,No,1355.0,67.0
Super built-up  Area,2.0,1.0,No,1200.0,46.0
Super built-up  Area,2.0,1.0,Yes,400.0,25.0
Built-up  Area,2.0,2.0,Yes,1342.0,70.0
Super built-up  Area,3.0,2.0,Yes,1615.0,50.87
Super built-up  Area,2.0,1.0,Yes,1340.0,65.0
Built-up  Area,1.0,0.0,Yes,400.0,55.0
Super built-up  Area,2.0,1.0,Yes,1080.0,52.0
Super built-up  Area,2.0,1.0,Yes,1600.0,31.0
Super built-up  Area,2.0,0.0,Yes,1200.0,34.0
Plot  Area,3.0,2.0,No,2700.0,150.0
Built-up  Area,3.0,0.0,Yes,1780.0,110.0
Built-up  Area,3.0,2.0,Yes,1605.0,65.0
Super built-up  Area,5.0,2.0,No,7200.0,1584.0
Plot  Area,2.0,1.0,Yes,646.0,65.0
Super built-up  Area,2.0,2.0,Yes,1200.0,80.0
Plot  Area,2.0,0.0,Yes,900.0,49.0
Built-up  Area,3.0,1.0,No,1830.0,88.0
Plot  Area,4.0,1.0,Yes,690.0,83.0
Built-up  Area,1.0,3.0,Yes,650.0,500.0
Plot  Area,4.0,1.0,Yes,1800.0,68.0
Built-up  Area,2.0,0.0,Yes,715.0,32.0
Super built-up  Area,2.0,2.0,No,1230.0,31.37
Super built-up  Area,2.0,1.0,Yes,1065.0,42.59
Plot  Area,8.0,2.0,Yes,1350.0,185.0
Plot  Area,3.0,2.0,Yes,1080.0,149.0
Built-up  Area,2.0,0.0,Yes,900.0,65.0
Super built-up  Area,2.0,2.0,Yes,946.0,45.0
Super built-up  Area,1.0,0.0,Yes,1500.0,60.0
Super built-up  Area,3.0,1.0,No,1711.0,110.0
Plot  Area,3.0,2.0,Yes,1200.0,160.0
Super built-up  Area,2.0,1.0,No,950.0,25.65
Super built-up  Area,3.0,2.0,Yes,1656.0,80.0
Super built-up  Area,2.0,1.0,Yes,1075.0,46.76
Super built-up  Area,3.0,2.0,Yes,1752.12,133.0
Plot  Area,8.0,0.0,Yes,6000.0,220.0
Super built-up  Area,3.0,3.0,Yes,1540.0,85.0
Plot  Area,4.0,3.0,Yes,600.0,125.0
Super built-up  Area,1.0,2.0,Yes,665.0,32.0
Super built-up  Area,3.0,2.0,Yes,1665.0,110.0
Super built-up  Area,2.0,1.0,No,1145.0,54.0
Super built-up  Area,2.0,2.0,No,1185.0,41.0
Plot  Area,3.0,1.0,Yes,1200.0,190.0
Built-up  Area,3.0,2.0,Yes,1693.0,125.0
Super built-up  Area,3.0,3.0,Yes,2456.0,220.0
Super built-up  Area,3.0,2.0,Yes,2559.0,403.0
Super built-up  Area,2.0,1.0,Yes,1155.0,40.6
Super built-up  Area,2.0,2.0,No,1610.0,64.4
Plot  Area,3.0,2.0,No,1200.0,56.58
Plot  Area,2.0,1.0,Yes,1530.0,185.0
Built-up  Area,3.0,1.0,Yes,1709.0,80.0
Plot  Area,4.0,0.0,Yes,600.0,60.0
Plot  Area,8.0,2.0,Yes,2700.0,290.0
Plot  Area,1.0,1.0,Yes,840.0,150.0
Super built-up  Area,2.0,1.0,Yes,1400.0,50.0
Super built-up  Area,2.0,1.0,Yes,1200.0,42.0
Super built-up  Area,3.0,1.0,Yes,1439.0,57.23
Super built-up  Area,2.0,2.0,Yes,1375.0,72.0
Plot  Area,5.0,3.0,Yes,2990.0,416.0
Super built-up  Area,2.0,1.0,Yes,1200.0,75.0
Built-up  Area,2.0,3.0,Yes,1315.0,75.0
Plot  Area,2.0,0.0,No,1500.0,40.0
Built-up  Area,6.0,1.0,Yes,3600.0,200.0
Super built-up  Area,2.0,3.0,Yes,1178.0,82.0
Super built-up  Area,3.0,2.0,Yes,1430.0,59.0
Super built-up  Area,2.0,2.0,Yes,1400.0,65.8
Super built-up  Area,2.0,2.0,Yes,1093.0,72.0
Super built-up  Area,2.0,1.0,Yes,1200.0,45.0
Plot  Area,6.0,1.0,Yes,5000.0,360.0
Built-up  Area,2.0,0.0,No,1200.0,130.0
Built-up  Area,3.0,2.0,No,2210.0,156.0
Super built-up  Area,2.0,2.0,Yes,1150.0,70.0
Super built-up  Area,2.0,1.0,Yes,1435.0,60.0
Plot  Area,3.0,2.0,Yes,600.0,100.0
Super built-up  Area,2.0,1.0,No,1173.0,78.2
Super built-up  Area,2.0,1.0,Yes,1140.0,39.0
Super built-up  Area,3.0,3.0,Yes,1717.0,120.0
Super built-up  Area,2.0,2.0,Yes,1325.0,65.0
Built-up  Area,3.0,2.0,Yes,1370.0,67.0
Super built-up  Area,2.0,1.0,No,1025.0,90.0
Super built-up  Area,2.0,3.0,Yes,1409.0,62.0
Super built-up  Area,2.0,1.0,Yes,1200.0,52.0
Super built-up  Area,2.0,1.0,Yes,1200.0,53.5
Super built-up  Area,4.0,3.0,No,1740.0,130.0
Super built-up  Area,2.0,1.0,No,1232.0,88.0
Plot  Area,2.0,1.0,No,1200.0,36.0
Super built-up  Area,4.0,3.0,Yes,5924.0,625.0
Super built-up  Area,2.0,1.0,Yes,1250.0,50.0
Built-up  Area,2.0,2.0,Yes,1475.0,171.0
Super built-up  Area,4.0,2.0,Yes,2100.0,85.0
Super built-up  Area,1.0,1.0,Yes,552.0,23.5
Super built-up  Area,2.0,2.0,Yes,1065.0,42.59
Plot  Area,3.0,1.0,No,1000.0,130.0
Plot  Area,2.0,0.0,Yes,1225.0,65.0
Built-up  Area,1.0,0.0,Yes,650.0,16.0
Super built-up  Area,2.0,2.0,Yes,1067.0,52.0
Super built-up  Area,2.0,2.0,Yes,1364.0,56.0
