area_type,bath,balcony,price,available to move,rectified_sqft
Super built-up  Area,2.0,1.0,59.47,No,1180.0
Built-up  Area,6.0,1.0,69.0,Yes,1000.0
Built-up  Area,2.0,1.0,62.0,Yes,1310.0
Super built-up  Area,2.0,1.0,37.0,Yes,1060.0
Super built-up  Area,2.0,2.0,55.0,No,1200.0
Plot  Area,4.0,1.0,130.0,Yes,1200.0
Built-up  Area,2.0,2.0,68.0,Yes,1400.0
Super built-up  Area,2.0,1.0,59.76,No,1245.0
Built-up  Area,4.0,3.0,220.0,Yes,4000.0
Super built-up  Area,2.0,2.0,200.0,Yes,2031.0
Super built-up  Area,2.0,2.0,49.81,Yes,1465.0
Super built-up  Area,2.0,2.0,62.0,Yes,1200.0
Built-up  Area,2.0,1.0,32.49,No,1125.0
Super built-up  Area,2.0,2.0,42.0,Yes,1400.0
Built-up  Area,2.0,2.0,52.0,Yes,1140.0
Super built-up  Area,2.0,2.0,45.5,Yes,1035.0
Super built-up  Area,2.0,1.0,37.0,Yes,845.0
Plot  Area,3.0,2.0,90.0,Yes,2700.0
Super built-up  Area,2.0,1.0,40.0,Yes,990.0
Plot  Area,2.0,0.0,79.0,No,1200.0
Plot  Area,1.0,0.0,250.0,Yes,1056.0
Super built-up  Area,4.0,2.0,147.0,Yes,2072.0
Super built-up  Area,1.0,1.0,30.0,Yes,800.0
Super built-up  Area,3.0,2.0,120.0,Yes,1904.0
Super built-up  Area,2.0,2.0,60.0,Yes,1135.0
Super built-up  Area,2.0,3.0,38.0,Yes,1105.0
Super built-up  Area,2.0,2.0,42.0,Yes,1180.0
Super built-up  Area,1.0,1.0,26.0,No,525.0
Super built-up  Area,2.0,0.0,53.35,Yes,1080.0
Super built-up  Area,2.0,1.0,34.56,No,1152.0
Super built-up  Area,2.0,1.0,42.3,No,1130.0
Built-up  Area,3.0,2.0,125.0,Yes,1925.0
Super built-up  Area,2.0,2.0,48.77,No,1151.0
Super built-up  Area,2.0,1.0,65.0,Yes,1246.0
Super built-up  Area,3.0,2.0,164.0,No,1970.0
Super built-up  Area,2.0,1.0,58.0,Yes,1162.0
Super built-up  Area,2.0,2.0,86.0,Yes,1343.0
Plot  Area,5.0,2.0,180.0,Yes,1200.0
Super built-up  Area,2.0,2.0,65.0,Yes,1550.0
Super built-up  Area,2.0,3.0,66.0,Yes,1231.0
Super built-up  Area,6.0,2.0,75.0,Yes,750.0
Plot  Area,5.0,1.0,415.0,Yes,4500.0
Built-up  Area,2.0,1.0,52.0,Yes,1650.0
Super built-up  Area,2.0,2.0,75.0,Yes,1080.0
Super built-up  Area,3.0,2.0,240.0,Yes,1763.0
Super built-up  Area,3.0,2.0,93.25,Yes,1743.0
Super built-up  Area,2.0,1.0,56.58,Yes,1205.0
Plot  Area,3.0,1.0,75.0,Yes,900.0
Super built-up  Area,2.0,1.0,55.55,Yes,1250.0
Super built-up  Area,3.0,2.0,58.0,Yes,1420.0
Super built-up  Area,2.0,1.0,42.0,Yes,1005.0
Super built-up  Area,2.0,0.0,53.35,No,1404.0
Super built-up  Area,2.0,2.0,58.0,Yes,1339.0
Super built-up  Area,2.0,2.0,45.0,Yes,1350.0
Super built-up  Area,1.0,1.0,10.0,Yes,410.0
Super built-up  Area,3.0,3.0,115.0,Yes,1746.0
Plot  Area,3.0,2.0,85.0,Yes,600.0
Super built-up  Area,4.0,3.0,300.0,Yes,3900.0
Super built-up  Area,2.0,1.0,35.0,Yes,1095.0
Super built-up  Area,3.0,2.0,98.29,No,1787.0
Super built-up  Area,2.0,1.0,44.28,No,984.0
Super built-up  Area,3.0,3.0,50.0,Yes,1690.0
Plot  Area,3.0,1.0,205.0,Yes,1200.0
Super built-up  Area,2.0,1.0,61.0,No,1430.0
Super built-up  Area,2.0,1.0,55.0,Yes,1060.0
Super built-up  Area,3.0,3.0,109.0,Yes,1583.0
Plot  Area,2.0,0.0,280.0,Yes,1800.0
Super built-up  Area,5.0,2.0,215.0,Yes,2483.0
Super built-up  Area,3.0,2.0,400.0,Yes,5400.0
Super built-up  Area,2.0,2.0,56.0,Yes,1464.0
Plot  Area,2.0,1.0,42.0,Yes,750.0
Super built-up  Area,3.0,1.0,58.0,Yes,1345.0
Super built-up  Area,2.0,2.0,100.0,Yes,1568.0
Built-up  Area,3.0,1.0,100.0,Yes,1525.0
Carpet  Area,4.0,2.0,95.0,Yes,2000.0
Super built-up  Area,3.0,3.0,77.99,Yes,1300.0
Super built-up  Area,2.0,1.0,29.38,Yes,1175.0
Plot  Area,3.0,2.0,120.0,Yes,1200.0
Super built-up  Area,2.0,1.0,32.78,No,1093.0
Super built-up  Area,3.0,1.0,50.0,Yes,1445.0
Super built-up  Area,2.0,1.0,39.77,No,1005.0
Built-up  Area,3.0,2.0,70.0,Yes,1430.0
Super built-up  Area,1.0,0.0,42.535,No,827.5
Super built-up  Area,6.0,2.0,430.0,Yes,3754.0
Super built-up  Area,2.0,2.0,97.0,Yes,1269.0
Super built-up  Area,3.0,1.0,200.0,Yes,2250.0
Built-up  Area,2.0,2.0,66.5,Yes,1225.0
Super built-up  Area,2.0,2.0,69.75,Yes,1550.0
Plot  Area,5.0,2.0,90.0,Yes,2900.0
Super built-up  Area,2.0,1.0,50.0,Yes,1115.0
Super built-up  Area,4.0,2.0,103.0,Yes,1991.0
Super built-up  Area,2.0,2.0,30.0,Yes,842.0
Plot  Area,2.0,1.0,120.0,Yes,1200.0
Super built-up  Area,2.0,1.0,56.0,No,1152.0
Super built-up  Area,3.0,2.0,133.0,Yes,2556.0
Plot  Area,2.0,1.0,110.0,Yes,900.0
Super built-up  Area,1.0,1.0,11.0,Yes,450.0
Super built-up  Area,2.0,1.0,33.82,No,1097.0
Carpet  Area,4.0,1.0,131.0,No,1554.3
Super built-up  Area,2.0,1.0,179.0,No,1084.0
Super built-up  Area,3.0,1.0,119.0,No,1636.0
Super built-up  Area,1.0,1.0,28.0,Yes,614.0
Built-up  Area,1.0,1.0,55.0,No,905.0
Built-up  Area,3.0,2.0,142.0,Yes,2400.0
Super built-up  Area,2.0,1.0,47.0,No,1175.0
Plot  Area,6.0,3.0,160.0,Yes,1400.0
Super built-up  Area,2.0,1.0,46.0,No,900.0
Super built-up  Area,3.0,2.0,108.0,Yes,1697.0
Super built-up  Area,2.0,1.0,39.52,Yes,1040.0
Super built-up  Area,2.0,2.0,51.5,Yes,1355.0
Plot  Area,2.0,0.0,66.0,No,1000.0
Super built-up  Area,1.0,1.0,30.0,Yes,930.0
Super built-up  Area,2.0,1.0,81.0,No,1205.47
Plot  Area,3.0,2.0,62.0,Yes,600.0
Super built-up  Area,4.0,3.0,45.0,Yes,1540.0
Built-up  Area,4.0,1.0,140.0,No,2863.0
Super built-up  Area,3.0,2.0,126.0,Yes,1650.0
Super built-up  Area,2.0,1.0,55.0,Yes,1031.0
Super built-up  Area,2.0,3.0,85.0,Yes,1340.0
Super built-up  Area,2.0,1.0,97.0,No,1398.0
Built-up  Area,1.0,0.0,25.84,Yes,646.0
Plot  Area,2.0,1.0,100.0,Yes,1200.0
Built-up  Area,2.0,3.0,50.0,Yes,1170.0
Super built-up  Area,3.0,1.0,146.0,No,1724.0
Plot  Area,5.0,2.0,430.0,Yes,4560.0
Super built-up  Area,2.0,0.0,64.0,Yes,991.0
Super built-up  Area,2.0,1.0,46.29,Yes,1053.0
Plot  Area,3.0,1.0,54.0,Yes,600.0
Super built-up  Area,3.0,2.0,128.0,No,2173.0
Plot  Area,4.0,2.0,500.0,Yes,2400.0
Built-up  Area,1.0,1.0,30.0,Yes,600.0
Super built-up  Area,3.0,2.0,265.0,Yes,2150.0
Super built-up  Area,4.0,2.0,175.0,Yes,2061.0
Super built-up  Area,2.0,0.0,55.0,Yes,1430.0
Super built-up  Area,2.0,2.0,52.08,Yes,1050.0
Built-up  Area,2.0,2.0,36.0,Yes,1025.0
Super built-up  Area,2.0,2.0,50.0,Yes,1105.0
Super built-up  Area,2.0,1.0,50.0,Yes,1390.0
Super built-up  Area,2.0,2.0,76.18,Yes,1385.0
Super built-up  Area,2.0,1.0,85.0,Yes,1290.0
Super built-up  Area,2.0,1.0,60.42,Yes,1419.0
Built-up  Area,4.0,3.0,370.0,Yes,3730.0
Plot  Area,6.0,2.0,270.0,Yes,2400.0
Built-up  Area,6.0,1.0,460.0,Yes,3520.0
Built-up  Area,2.0,0.0,40.0,Yes,1095.0
Built-up  Area,2.0,1.0,45.0,Yes,1010.0
Built-up  Area,2.0,3.0,60.0,Yes,1470.0
Plot  Area,2.0,1.0,160.0,Yes,2000.0
Super built-up  Area,2.0,1.0,38.0,No,1150.0
Super built-up  Area,4.0,3.0,220.0,Yes,4000.0
Super built-up  Area,3.0,2.0,150.0,No,1910.0
Super built-up  Area,2.0,1.0,42.5,Yes,850.0
Super built-up  Area,2.0,2.0,47.5,Yes,1070.0
Super built-up  Area,2.0,1.0,59.0,Yes,1205.0
Built-up  Area,2.0,1.0,90.0,Yes,1100.0
Super built-up  Area,3.0,2.0,140.0,Yes,1760.0
Super built-up  Area,2.0,2.0,39.06,Yes,1240.0
Built-up  Area,2.0,1.0,25.0,Yes,656.0
Super built-up  Area,2.0,1.0,52.0,Yes,1200.0
Super built-up  Area,1.0,1.0,70.0,Yes,650.0
Super built-up  Area,4.0,3.0,127.0,No,1890.0
Super built-up  Area,2.0,1.0,35.0,Yes,1000.0
Built-up  Area,4.0,2.0,290.0,Yes,2675.0
Built-up  Area,3.0,2.0,65.8,Yes,1440.0
Built-up  Area,3.0,0.0,145.0,Yes,1632.0
Built-up  Area,2.0,2.0,57.0,Yes,1100.0
Built-up  Area,3.0,2.0,135.0,Yes,1500.0
Plot  Area,7.0,3.0,110.0,Yes,600.0
Super built-up  Area,3.0,1.0,119.0,No,1816.0
Super built-up  Area,3.0,2.0,85.0,Yes,1750.0
Super built-up  Area,2.0,2.0,42.0,Yes,1350.0
Plot  Area,4.0,1.0,100.0,Yes,1200.0
Super built-up  Area,2.0,1.0,61.0,Yes,1355.0
Super built-up  Area,3.0,2.0,100.0,Yes,1564.0
Super built-up  Area,2.0,1.0,49.02,Yes,1290.0
Super built-up  Area,2.0,2.0,35.0,No,1080.0
Super built-up  Area,3.0,2.0,75.17,Yes,1555.0
Super built-up  Area,2.0,2.0,49.11,No,1140.0
Super built-up  Area,2.0,1.0,99.26,No,1320.0
Super built-up  Area,2.0,1.0,37.8,Yes,1080.0
Plot  Area,6.0,3.0,132.0,Yes,1200.0
Super built-up  Area,2.0,1.0,48.0,Yes,1202.0
Super built-up  Area,3.0,1.0,95.0,Yes,1511.0
Super built-up  Area,3.0,3.0,90.0,Yes,1885.0
Super built-up  Area,1.0,2.0,40.0,Yes,750.0
Super built-up  Area,2.0,2.0,65.0,Yes,1350.0
Plot  Area,4.0,0.0,210.0,Yes,3750.0
Plot  Area,4.0,3.0,550.0,Yes,4800.0
Plot  Area,3.0,3.0,200.0,Yes,1200.0
Super built-up  Area,2.0,3.0,38.4,Yes,1200.0
Plot  Area,4.0,2.0,610.0,Yes,4250.0
Built-up  Area,4.0,0.0,445.0,No,4046.0
Super built-up  Area,3.0,2.0,90.0,Yes,1850.0
Super built-up  Area,2.0,1.0,50.0,Yes,1146.0
Super built-up  Area,2.0,2.0,52.86,Yes,1175.0
Built-up  Area,2.0,3.0,40.0,Yes,885.0
Plot  Area,5.0,2.0,92.0,Yes,1200.0
Built-up  Area,3.0,2.0,130.0,Yes,1620.0
Super built-up  Area,3.0,2.0,165.0,Yes,1960.0
Built-up  Area,2.0,2.0,85.0,Yes,1450.0
Built-up  Area,3.0,1.0,75.0,Yes,1550.0
Super built-up  Area,2.0,2.0,67.0,Yes,1310.0
Plot  Area,1.0,1.0,28.0,Yes,1200.0
Built-up  Area,3.0,2.0,104.0,No,1600.0
Super built-up  Area,6.0,2.0,250.0,No,3012.0
Super built-up  Area,2.0,2.0,55.0,Yes,1080.0
Built-up  Area,1.0,1.0,44.0,Yes,900.0
Super built-up  Area,2.0,1.0,67.4,Yes,1259.0
Plot  Area,5.0,1.0,95.5,Yes,800.0
Super built-up  Area,2.0,3.0,38.0,Yes,1062.0
Super built-up  Area,3.0,3.0,84.0,Yes,1644.0
Plot  Area,4.0,2.0,325.0,Yes,3090.0
Built-up  Area,4.0,0.0,139.5,No,2585.5
Super built-up  Area,2.0,1.0,40.0,Yes,1115.0
Super built-up  Area,2.0,2.0,39.89,No,1240.0
Super built-up  Area,2.0,2.0,62.38,Yes,1560.0
Super built-up  Area,2.0,2.0,42.0,Yes,1160.0
Super built-up  Area,2.0,2.0,55.0,Yes,1455.0
Super built-up  Area,1.0,1.0,15.0,Yes,660.0
Super built-up  Area,1.0,1.0,39.0,Yes,610.0
Built-up  Area,4.0,3.0,170.0,Yes,3000.0
Plot  Area,4.0,1.0,1250.0,Yes,10200.0
Super built-up  Area,2.0,1.0,87.0,No,1451.0
Super built-up  Area,2.0,3.0,53.0,Yes,1184.0
Built-up  Area,2.0,3.0,45.0,Yes,1240.0
Super built-up  Area,3.0,2.0,124.0,No,1700.0
Super built-up  Area,2.0,2.0,67.0,Yes,1158.0
Plot  Area,2.0,0.0,100.0,Yes,1348.0
Super built-up  Area,2.0,1.0,41.0,Yes,940.0
Super built-up  Area,3.0,2.0,39.0,No,1250.0
Super built-up  Area,1.0,0.0,41.9,No,790.5
Super built-up  Area,2.0,2.0,66.25,Yes,1250.0
Super built-up  Area,2.0,1.0,71.0,Yes,1240.0
Built-up  Area,6.0,3.0,58.0,Yes,2500.0
Super built-up  Area,3.0,3.0,138.0,Yes,2500.0
Plot  Area,3.0,0.0,348.0,Yes,2400.0
Super built-up  Area,2.0,2.0,39.0,Yes,1190.0
Super built-up  Area,2.0,1.0,55.55,No,1350.0
Plot  Area,2.0,0.0,42.0,Yes,690.0
Super built-up  Area,2.0,3.0,52.0,Yes,1150.0
Built-up  Area,1.0,1.0,42.0,Yes,596.0
Super built-up  Area,2.0,1.0,59.13,No,1556.0
Super built-up  Area,2.0,1.0,72.0,No,1200.0
Super built-up  Area,3.0,1.0,55.0,Yes,1250.0
Built-up  Area,3.0,2.0,50.0,No,1500.0
Plot  Area,4.0,1.0,386.0,Yes,3508.0
Super built-up  Area,2.0,2.0,73.0,Yes,1300.0
Built-up  Area,3.0,0.0,71.0,Yes,1350.0
Super built-up  Area,3.0,3.0,68.0,Yes,1650.0
Built-up  Area,3.0,2.0,59.0,Yes,1021.0
Built-up  Area,4.0,2.0,211.0,Yes,697.0
Built-up  Area,4.0,1.0,375.0,Yes,3000.0
Super built-up  Area,3.0,2.0,204.0,Yes,2100.0
Super built-up  Area,5.0,0.0,252.0,Yes,3596.0
Super built-up  Area,2.0,1.0,43.0,Yes,975.0
Super built-up  Area,3.0,1.0,42.0,Yes,1319.0
Plot  Area,2.0,0.0,90.0,Yes,1200.0
Super built-up  Area,3.0,2.0,115.0,Yes,1801.0
Super built-up  Area,1.0,2.0,50.4,Yes,760.0
Plot  Area,4.0,2.0,465.0,Yes,3100.0
Super built-up  Area,3.0,1.0,101.0,Yes,1564.0
Built-up  Area,2.0,2.0,65.0,Yes,1250.0
Super built-up  Area,2.0,3.0,85.0,Yes,1450.0
Super built-up  Area,2.0,2.0,32.5,Yes,900.0
Super built-up  Area,4.0,2.0,986.0,Yes,6600.0
Plot  Area,4.0,2.0,260.0,No,6000.0
Super built-up  Area,3.0,3.0,162.0,Yes,2070.0
Super built-up  Area,2.0,2.0,37.45,Yes,1070.0
Super built-up  Area,2.0,1.0,74.0,No,1232.0
Super built-up  Area,2.0,1.0,69.0,No,1162.0
Super built-up  Area,3.0,2.0,85.0,Yes,1743.0
Plot  Area,12.0,2.0,110.0,Yes,1200.0
Super built-up  Area,2.0,2.0,100.0,Yes,1336.0
Built-up  Area,4.0,0.0,99.0,Yes,1650.0
Super built-up  Area,2.0,2.0,42.0,Yes,1140.0
Plot  Area,3.0,0.0,215.0,Yes,1095.0
Super built-up  Area,2.0,1.0,39.95,Yes,1016.0
Super built-up  Area,2.0,1.0,108.0,Yes,1600.0
Super built-up  Area,2.0,2.0,54.21,No,1936.0
Super built-up  Area,2.0,1.0,50.0,Yes,1070.0
Super built-up  Area,2.0,3.0,67.0,Yes,1525.0
Super built-up  Area,2.0,1.0,50.0,Yes,1230.0
Super built-up  Area,2.0,1.0,30.13,No,896.0
Super built-up  Area,2.0,2.0,85.0,Yes,1210.0
Super built-up  Area,2.0,1.0,58.0,Yes,1070.0
Built-up  Area,3.0,2.0,297.0,Yes,2006.0
Super built-up  Area,2.0,2.0,78.0,Yes,1115.0
Super built-up  Area,2.0,1.0,54.79,Yes,1370.0
Built-up  Area,2.0,1.0,55.0,Yes,1050.0
Super built-up  Area,2.0,2.0,304.0,Yes,4348.5
Built-up  Area,1.0,1.0,11.5,Yes,400.0
Super built-up  Area,5.0,2.0,234.0,No,2465.0
Super built-up  Area,3.0,1.0,220.0,Yes,2300.0
Super built-up  Area,2.0,1.0,32.73,No,935.0
Plot  Area,2.0,0.0,30.0,Yes,600.0
Built-up  Area,2.0,2.0,65.0,Yes,1570.0
Super built-up  Area,2.0,2.0,48.0,Yes,1200.0
Super built-up  Area,2.0,1.0,62.0,Yes,964.0
Plot  Area,1.0,0.0,218.0,Yes,1500.0
Super built-up  Area,2.0,1.0,70.0,Yes,1500.0
Super built-up  Area,2.0,1.0,52.8,Yes,1150.0
Super built-up  Area,2.0,1.0,75.0,Yes,1040.0
Super built-up  Area,2.0,1.0,58.0,No,1016.0
Plot  Area,4.0,2.0,122.0,Yes,600.0
Built-up  Area,2.0,2.0,42.0,Yes,1190.0
Super built-up  Area,2.0,2.0,42.7,Yes,1050.0
Built-up  Area,2.0,3.0,95.0,Yes,1300.0
Super built-up  Area,2.0,1.0,53.0,Yes,1084.0
Super built-up  Area,3.0,1.0,120.0,No,1591.0
Plot  Area,4.0,2.0,190.0,Yes,3750.0
Plot  Area,5.0,2.0,325.0,Yes,2400.0
Super built-up  Area,2.0,1.0,70.0,No,1160.0
Super built-up  Area,3.0,2.0,56.0,Yes,1500.0
Super built-up  Area,4.0,0.0,120.0,Yes,2000.0
Plot  Area,3.0,1.0,160.0,Yes,1200.0
Super built-up  Area,3.0,1.0,235.0,Yes,3235.0
Built-up  Area,3.0,2.0,113.0,No,1820.0
Plot  Area,4.0,0.0,330.0,Yes,3000.0
Super built-up  Area,3.0,2.0,155.0,Yes,1804.0
Super built-up  Area,3.0,2.0,71.0,Yes,1719.0
Super built-up  Area,2.0,2.0,65.0,Yes,1600.0
Super built-up  Area,2.0,2.0,51.0,No,1150.0
Super built-up  Area,2.0,1.0,33.28,Yes,1040.0
Plot  Area,4.0,2.0,135.0,Yes,1200.0
Super built-up  Area,3.0,3.0,112.0,Yes,1715.0
Plot  Area,4.0,2.0,550.0,Yes,6136.0
Super built-up  Area,2.0,3.0,29.99,Yes,1117.0
Built-up  Area,2.0,1.0,40.0,Yes,873.0
Super built-up  Area,3.0,2.0,56.0,Yes,1220.0
Super built-up  Area,2.0,2.0,48.0,Yes,1180.0
Super built-up  Area,2.0,1.0,89.0,No,1132.0
Super built-up  Area,2.0,1.0,66.48,No,1216.0
Super built-up  Area,2.0,2.0,35.0,Yes,900.0
Super built-up  Area,2.0,3.0,60.0,Yes,1196.0
Built-up  Area,2.0,1.0,35.23,No,1220.0
Super built-up  Area,6.0,0.0,99.0,Yes,1300.0
Plot  Area,3.0,2.0,170.0,Yes,1600.0
Super built-up  Area,2.0,2.0,88.0,Yes,1374.0
Plot  Area,2.0,2.0,225.0,Yes,2651.0
Super built-up  Area,1.0,1.0,16.45,No,645.0
Plot  Area,1.0,1.0,75.0,Yes,400.0
Super built-up  Area,3.0,1.0,84.0,Yes,1650.0
Super built-up  Area,3.0,2.0,170.0,Yes,2546.0
Built-up  Area,2.0,1.0,35.0,Yes,780.0
Super built-up  Area,2.0,1.0,75.0,Yes,1650.0
Super built-up  Area,2.0,1.0,57.0,Yes,1330.0
Super built-up  Area,2.0,1.0,35.0,Yes,1014.0
Super built-up  Area,3.0,2.0,95.0,Yes,1728.0
Built-up  Area,2.0,2.0,44.0,Yes,1035.0
Super built-up  Area,2.0,0.0,75.0,Yes,1480.0
Super built-up  Area,2.0,2.0,28.5,Yes,1065.0
Super built-up  Area,2.0,3.0,69.0,Yes,1515.0
Super built-up  Area,2.0,1.0,78.0,Yes,1197.0
Super built-up  Area,2.0,1.0,49.0,Yes,1179.0
Plot  Area,4.0,1.0,70.0,Yes,1200.0
Super built-up  Area,2.0,3.0,78.0,Yes,1400.0
Super built-up  Area,2.0,0.0,105.0,No,1224.0
Super built-up  Area,3.0,1.0,95.0,Yes,1476.0
Super built-up  Area,4.0,2.0,196.0,No,2006.8
Super built-up  Area,2.0,1.0,60.0,Yes,1100.0
Super built-up  Area,3.0,2.0,60.65,Yes,1630.0
Super built-up  Area,4.0,2.0,792.0,Yes,2230.0
Super built-up  Area,3.0,2.0,77.41,Yes,1450.0
Plot  Area,3.0,2.0,198.0,Yes,2990.0
Super built-up  Area,3.0,2.0,200.0,Yes,2100.0
Super built-up  Area,4.0,1.0,114.0,Yes,1894.0
Plot  Area,5.0,3.0,475.0,Yes,5400.0
Super built-up  Area,3.0,2.0,55.0,Yes,1350.0
Super built-up  Area,2.0,1.0,11.5,Yes,418.0
Built-up  Area,2.0,2.0,52.0,Yes,1300.0
Super built-up  Area,3.0,2.0,110.0,Yes,1645.0
Super built-up  Area,2.0,1.0,60.0,No,1052.0
Plot  Area,4.0,0.0,150.0,Yes,875.0
Super built-up  Area,4.0,2.0,156.0,Yes,2215.0
Super built-up  Area,2.0,1.0,88.73,No,1251.0
Built-up  Area,1.0,0.0,26.0,Yes,635.0
Super built-up  Area,2.0,1.0,36.0,Yes,1126.0
Super built-up  Area,2.0,2.0,55.0,Yes,1455.0
Super built-up  Area,3.0,2.0,59.75,Yes,1532.0
Super built-up  Area,2.0,2.0,48.0,No,1225.0
Super built-up  Area,2.0,2.0,55.0,Yes,1200.0
Super built-up  Area,3.0,3.0,251.0,Yes,2400.0
Super built-up  Area,2.0,3.0,42.0,Yes,1200.0
Super built-up  Area,2.0,2.0,87.0,Yes,1525.0
Super built-up  Area,5.0,2.0,110.0,Yes,2500.0
Super built-up  Area,2.0,2.0,57.0,Yes,1500.0
Super built-up  Area,2.0,2.0,65.0,No,1180.0
Super built-up  Area,3.0,1.0,103.0,No,1513.0
Built-up  Area,3.0,2.0,89.0,Yes,1335.0
Super built-up  Area,2.0,2.0,103.0,Yes,1297.0
Plot  Area,4.0,1.0,400.0,Yes,2400.0
Plot  Area,3.0,0.0,99.0,Yes,1365.0
Super built-up  Area,4.0,2.0,242.0,Yes,4395.0
Built-up  Area,4.0,2.0,350.0,Yes,3090.0
Super built-up  Area,3.0,1.0,42.0,Yes,1212.0
Built-up  Area,2.0,1.0,58.0,Yes,1065.0
Super built-up  Area,3.0,2.0,132.0,No,1917.0
Super built-up  Area,2.0,1.0,65.0,No,1007.0
Super built-up  Area,2.0,1.0,58.27,No,1313.0
Super built-up  Area,3.0,3.0,95.0,Yes,1500.0
Plot  Area,4.0,1.0,240.0,Yes,2400.0
Built-up  Area,2.0,3.0,32.0,Yes,1140.0
Super built-up  Area,2.0,1.0,44.41,No,1050.0
Super built-up  Area,2.0,3.0,70.0,Yes,1460.0
Plot  Area,2.0,1.0,80.0,Yes,600.0
Built-up  Area,2.0,1.0,41.0,Yes,995.0
Built-up  Area,3.0,3.0,92.0,No,1847.0
Super built-up  Area,2.0,1.0,33.0,No,950.0
Built-up  Area,4.0,3.0,290.0,Yes,5000.0
Plot  Area,6.0,2.0,303.0,Yes,3600.0
Super built-up  Area,2.0,1.0,46.0,No,1200.0
Built-up  Area,3.0,2.0,76.0,Yes,1605.0
Built-up  Area,2.0,2.0,171.0,Yes,1475.0
Built-up  Area,2.0,2.0,55.0,Yes,1166.0
Built-up  Area,2.0,1.0,37.49,Yes,760.0
Super built-up  Area,2.0,1.0,44.0,Yes,1347.0
Super built-up  Area,5.0,2.0,260.0,No,3000.0
Super built-up  Area,3.0,1.0,73.0,Yes,1580.0
Plot  Area,2.0,1.0,140.0,Yes,1650.0
Built-up  Area,2.0,1.0,96.0,Yes,1270.0
Plot  Area,2.0,1.0,75.0,Yes,610.0
Plot  Area,6.0,2.0,200.0,Yes,1650.0
Super built-up  Area,2.0,1.0,58.0,Yes,1255.0
Plot  Area,3.0,2.0,67.75,No,1200.0
Super built-up  Area,2.0,1.0,45.0,Yes,1015.0
Super built-up  Area,7.0,2.0,329.0,Yes,3930.0
Super built-up  Area,2.0,2.0,48.0,Yes,1311.0
Carpet  Area,3.0,1.0,180.0,Yes,1875.0
Plot  Area,5.0,3.0,2000.0,No,11000.0
Built-up  Area,2.0,0.0,35.0,Yes,850.0
Built-up  Area,4.0,3.0,239.0,Yes,3800.0
Built-up  Area,2.0,2.0,70.0,Yes,1495.0
Super built-up  Area,2.0,2.0,45.0,Yes,1500.0
Super built-up  Area,2.0,3.0,60.0,Yes,1488.0
Super built-up  Area,2.0,1.0,69.5,No,1276.0
Built-up  Area,4.0,2.0,316.0,Yes,3155.0
Built-up  Area,3.0,2.0,78.0,Yes,1565.0
Super built-up  Area,2.0,1.0,57.0,Yes,1107.0
Super built-up  Area,3.0,2.0,64.0,Yes,1530.0
Super built-up  Area,2.0,1.0,35.0,Yes,1015.0
Super built-up  Area,3.0,3.0,80.0,Yes,1800.0
Super built-up  Area,2.0,1.0,51.0,Yes,1013.0
Super built-up  Area,1.0,1.0,16.5,Yes,440.0
Super built-up  Area,3.0,2.0,112.0,No,2259.0
Super built-up  Area,2.0,0.0,50.17,Yes,929.0
Super built-up  Area,2.0,1.0,45.98,Yes,1210.0
Plot  Area,4.0,2.0,85.0,Yes,600.0
Super built-up  Area,2.0,0.0,40.72,Yes,1272.5
Built-up  Area,5.0,2.0,550.0,Yes,2750.0
Built-up  Area,4.0,3.0,176.0,Yes,3675.0
Super built-up  Area,2.0,2.0,47.0,Yes,1100.0
Super built-up  Area,2.0,1.0,38.0,Yes,1100.0
Built-up  Area,5.0,2.0,395.0,Yes,5000.0
Super built-up  Area,2.0,1.0,41.49,No,1109.0
Super built-up  Area,3.0,3.0,85.0,Yes,1635.0
Super built-up  Area,2.0,1.0,44.5,Yes,1113.0
Super built-up  Area,3.0,3.0,51.87,Yes,1530.0
Plot  Area,4.0,1.0,150.0,Yes,750.0
Built-up  Area,3.0,3.0,105.0,Yes,1650.0
Super built-up  Area,2.0,0.0,146.0,Yes,1276.0
Built-up  Area,2.0,1.0,32.49,No,1125.0
Super built-up  Area,3.0,2.0,128.0,No,1138.0
Built-up  Area,2.0,1.0,75.0,Yes,948.0
Super built-up  Area,3.0,2.0,90.0,Yes,1656.0
Super built-up  Area,2.0,2.0,55.0,Yes,1610.0
Built-up  Area,3.0,2.0,198.0,Yes,3500.0
Super built-up  Area,2.0,1.0,95.0,Yes,1246.0
Built-up  Area,2.0,1.0,110.0,Yes,1117.0
Super built-up  Area,3.0,2.0,117.0,No,1919.0
Built-up  Area,2.0,1.0,50.0,Yes,1100.0
Plot  Area,8.0,3.0,230.0,Yes,1200.0
Super built-up  Area,2.0,1.0,49.0,Yes,1080.0
Super built-up  Area,2.0,0.0,35.175,No,1005.0
Built-up  Area,2.0,1.0,49.0,Yes,1082.0
Super built-up  Area,3.0,3.0,80.0,Yes,1304.0
Super built-up  Area,2.0,3.0,45.0,Yes,1360.0
Super built-up  Area,3.0,3.0,55.0,Yes,1252.0
Super built-up  Area,2.0,3.0,40.0,Yes,1106.0
Super built-up  Area,3.0,0.0,175.0,Yes,1200.0
Built-up  Area,4.0,3.0,135.0,Yes,2400.0
Built-up  Area,2.0,2.0,80.0,Yes,600.0
Super built-up  Area,3.0,2.0,116.0,Yes,1787.0
